count,date
0,2011-12-01
0,2012-01-01
0,2012-02-01
0,2012-03-01
0,2012-04-01
0,2012-05-01
0,2012-06-01
0,2012-07-01
0,2012-08-01
0,2012-09-01
0,2012-10-01
0,2012-11-01
1,2012-12-01
0,2013-01-01
0,2013-02-01
1,2013-03-01
1,2013-04-01
0,2013-05-01
1,2013-06-01
1,2013-07-01
1,2013-08-01
6,2013-09-01
0,2013-10-01
1,2013-11-01
12,2013-12-01
5,2014-01-01
2,2014-02-01
3,2014-03-01
14,2014-04-01
8,2014-05-01
13,2014-06-01
6,2014-07-01
5,2014-08-01
3,2014-09-01
12,2014-10-01
10,2014-11-01
15,2014-12-01
8,2015-01-01
5,2015-02-01
16,2015-03-01
10,2015-04-01
22,2015-05-01
17,2015-06-01
18,2015-07-01
22,2015-08-01
22,2015-09-01
20,2015-10-01
19,2015-11-01
22,2015-12-01
20,2016-01-01
28,2016-02-01
17,2016-03-01
26,2016-04-01
17,2016-05-01
37,2016-06-01
46,2016-07-01
17,2016-08-01
34,2016-09-01
26,2016-10-01
35,2016-11-01
39,2016-12-01
32,2017-01-01
38,2017-02-01
30,2017-03-01
38,2017-04-01
54,2017-05-01
46,2017-06-01
36,2017-07-01
63,2017-08-01
60,2017-09-01
70,2017-10-01
63,2017-11-01
94,2017-12-01
111,2018-01-01
