count,date
17,1991-02-01
8,1991-03-01
6,1991-04-01
17,1991-05-01
11,1991-06-01
15,1991-07-01
7,1991-08-01
3,1991-09-01
12,1991-10-01
18,1991-11-01
64,1991-12-01
15,1992-01-01
11,1992-02-01
40,1992-03-01
13,1992-04-01
31,1992-05-01
5,1992-06-01
6,1992-07-01
19,1992-08-01
14,1992-09-01
7,1992-10-01
19,1992-11-01
85,1992-12-01
18,1993-01-01
28,1993-02-01
11,1993-03-01
21,1993-04-01
19,1993-05-01
14,1993-06-01
13,1993-07-01
20,1993-08-01
12,1993-09-01
11,1993-10-01
15,1993-11-01
65,1993-12-01
14,1994-01-01
14,1994-02-01
13,1994-03-01
23,1994-04-01
22,1994-05-01
10,1994-06-01
9,1994-07-01
15,1994-08-01
13,1994-09-01
14,1994-10-01
18,1994-11-01
79,1994-12-01
24,1995-01-01
15,1995-02-01
9,1995-03-01
17,1995-04-01
19,1995-05-01
15,1995-06-01
18,1995-07-01
15,1995-08-01
11,1995-09-01
6,1995-10-01
21,1995-11-01
84,1995-12-01
17,1996-01-01
22,1996-02-01
11,1996-03-01
12,1996-04-01
11,1996-05-01
15,1996-06-01
12,1996-07-01
22,1996-08-01
22,1996-09-01
29,1996-10-01
27,1996-11-01
81,1996-12-01
12,1997-01-01
25,1997-02-01
12,1997-03-01
16,1997-04-01
9,1997-05-01
19,1997-06-01
37,1997-07-01
21,1997-08-01
19,1997-09-01
22,1997-10-01
12,1997-11-01
54,1997-12-01
15,1998-01-01
17,1998-02-01
9,1998-03-01
13,1998-04-01
12,1998-05-01
15,1998-06-01
16,1998-07-01
21,1998-08-01
21,1998-09-01
13,1998-10-01
17,1998-11-01
76,1998-12-01
10,1999-01-01
20,1999-02-01
21,1999-03-01
19,1999-04-01
20,1999-05-01
18,1999-06-01
13,1999-07-01
17,1999-08-01
15,1999-09-01
28,1999-10-01
26,1999-11-01
64,1999-12-01
91,2000-01-01
47,2000-02-01
47,2000-03-01
57,2000-04-01
53,2000-05-01
38,2000-06-01
34,2000-07-01
40,2000-08-01
36,2000-09-01
40,2000-10-01
44,2000-11-01
101,2000-12-01
97,2001-01-01
28,2001-02-01
29,2001-03-01
40,2001-04-01
52,2001-05-01
52,2001-06-01
56,2001-07-01
56,2001-08-01
51,2001-09-01
49,2001-10-01
55,2001-11-01
73,2001-12-01
58,2002-01-01
35,2002-02-01
39,2002-03-01
36,2002-04-01
38,2002-05-01
45,2002-06-01
45,2002-07-01
45,2002-08-01
49,2002-09-01
42,2002-10-01
36,2002-11-01
111,2002-12-01
113,2003-01-01
59,2003-02-01
50,2003-03-01
38,2003-04-01
39,2003-05-01
33,2003-06-01
38,2003-07-01
36,2003-08-01
38,2003-09-01
42,2003-10-01
37,2003-11-01
75,2003-12-01
74,2004-01-01
38,2004-02-01
38,2004-03-01
39,2004-04-01
45,2004-05-01
50,2004-06-01
47,2004-07-01
41,2004-08-01
59,2004-09-01
67,2004-10-01
61,2004-11-01
111,2004-12-01
98,2005-01-01
42,2005-02-01
39,2005-03-01
40,2005-04-01
42,2005-05-01
40,2005-06-01
39,2005-07-01
41,2005-08-01
43,2005-09-01
42,2005-10-01
52,2005-11-01
85,2005-12-01
72,2006-01-01
34,2006-02-01
43,2006-03-01
45,2006-04-01
48,2006-05-01
50,2006-06-01
44,2006-07-01
40,2006-08-01
45,2006-09-01
52,2006-10-01
60,2006-11-01
91,2006-12-01
75,2007-01-01
41,2007-02-01
43,2007-03-01
55,2007-04-01
72,2007-05-01
67,2007-06-01
67,2007-07-01
62,2007-08-01
52,2007-09-01
55,2007-10-01
51,2007-11-01
59,2007-12-01
56,2008-01-01
39,2008-02-01
46,2008-03-01
49,2008-04-01
39,2008-05-01
39,2008-06-01
56,2008-07-01
54,2008-08-01
48,2008-09-01
55,2008-10-01
51,2008-11-01
61,2008-12-01
58,2009-01-01
40,2009-02-01
46,2009-03-01
58,2009-04-01
59,2009-05-01
44,2009-06-01
27,2009-07-01
46,2009-08-01
53,2009-09-01
42,2009-10-01
48,2009-11-01
72,2009-12-01
28,2010-01-01
30,2010-02-01
28,2010-03-01
21,2010-04-01
32,2010-05-01
29,2010-06-01
19,2010-07-01
27,2010-08-01
39,2010-09-01
29,2010-10-01
42,2010-11-01
45,2010-12-01
21,2011-01-01
36,2011-02-01
29,2011-03-01
44,2011-04-01
33,2011-05-01
45,2011-06-01
31,2011-07-01
45,2011-08-01
37,2011-09-01
29,2011-10-01
39,2011-11-01
47,2011-12-01
41,2012-01-01
37,2012-02-01
52,2012-03-01
41,2012-04-01
35,2012-05-01
37,2012-06-01
39,2012-07-01
53,2012-08-01
33,2012-09-01
28,2012-10-01
29,2012-11-01
44,2012-12-01
32,2013-01-01
30,2013-02-01
29,2013-03-01
25,2013-04-01
33,2013-05-01
27,2013-06-01
30,2013-07-01
43,2013-08-01
24,2013-09-01
36,2013-10-01
26,2013-11-01
50,2013-12-01
25,2014-01-01
35,2014-02-01
34,2014-03-01
25,2014-04-01
30,2014-05-01
32,2014-06-01
27,2014-07-01
37,2014-08-01
33,2014-09-01
37,2014-10-01
29,2014-11-01
41,2014-12-01
22,2015-01-01
20,2015-02-01
25,2015-03-01
31,2015-04-01
31,2015-05-01
28,2015-06-01
31,2015-07-01
41,2015-08-01
21,2015-09-01
32,2015-10-01
28,2015-11-01
26,2015-12-01
28,2016-01-01
38,2016-02-01
29,2016-03-01
26,2016-04-01
30,2016-05-01
30,2016-06-01
36,2016-07-01
26,2016-08-01
33,2016-09-01
27,2016-10-01
30,2016-11-01
24,2016-12-01
20,2017-01-01
24,2017-02-01
29,2017-03-01
30,2017-04-01
25,2017-05-01
39,2017-06-01
28,2017-07-01
40,2017-08-01
32,2017-09-01
40,2017-10-01
42,2017-11-01
45,2017-12-01
40,2018-01-01
