count,date
7,1991-02-01
6,1991-03-01
1,1991-04-01
0,1991-05-01
0,1991-06-01
6,1991-07-01
2,1991-08-01
1,1991-09-01
3,1991-10-01
5,1991-11-01
38,1991-12-01
5,1992-01-01
4,1992-02-01
5,1992-03-01
6,1992-04-01
8,1992-05-01
7,1992-06-01
6,1992-07-01
8,1992-08-01
3,1992-09-01
5,1992-10-01
10,1992-11-01
40,1992-12-01
5,1993-01-01
9,1993-02-01
1,1993-03-01
10,1993-04-01
9,1993-05-01
6,1993-06-01
7,1993-07-01
9,1993-08-01
5,1993-09-01
5,1993-10-01
16,1993-11-01
49,1993-12-01
7,1994-01-01
6,1994-02-01
6,1994-03-01
15,1994-04-01
15,1994-05-01
5,1994-06-01
9,1994-07-01
7,1994-08-01
8,1994-09-01
2,1994-10-01
9,1994-11-01
50,1994-12-01
12,1995-01-01
7,1995-02-01
5,1995-03-01
5,1995-04-01
11,1995-05-01
12,1995-06-01
5,1995-07-01
10,1995-08-01
9,1995-09-01
2,1995-10-01
13,1995-11-01
48,1995-12-01
6,1996-01-01
9,1996-02-01
11,1996-03-01
13,1996-04-01
10,1996-05-01
6,1996-06-01
6,1996-07-01
13,1996-08-01
11,1996-09-01
12,1996-10-01
6,1996-11-01
77,1996-12-01
11,1997-01-01
20,1997-02-01
4,1997-03-01
14,1997-04-01
3,1997-05-01
14,1997-06-01
11,1997-07-01
6,1997-08-01
11,1997-09-01
11,1997-10-01
13,1997-11-01
65,1997-12-01
6,1998-01-01
11,1998-02-01
7,1998-03-01
10,1998-04-01
11,1998-05-01
17,1998-06-01
10,1998-07-01
28,1998-08-01
11,1998-09-01
14,1998-10-01
12,1998-11-01
66,1998-12-01
11,1999-01-01
26,1999-02-01
11,1999-03-01
9,1999-04-01
17,1999-05-01
9,1999-06-01
11,1999-07-01
16,1999-08-01
15,1999-09-01
18,1999-10-01
22,1999-11-01
80,1999-12-01
91,2000-01-01
30,2000-02-01
36,2000-03-01
29,2000-04-01
38,2000-05-01
46,2000-06-01
33,2000-07-01
26,2000-08-01
28,2000-09-01
26,2000-10-01
34,2000-11-01
99,2000-12-01
95,2001-01-01
39,2001-02-01
29,2001-03-01
22,2001-04-01
39,2001-05-01
43,2001-06-01
