count,date
2,1991-01-01
0,1991-02-01
0,1991-03-01
1,1991-04-01
0,1991-05-01
0,1991-06-01
0,1991-07-01
0,1991-08-01
4,1991-09-01
0,1991-10-01
0,1991-11-01
1,1991-12-01
0,1992-01-01
0,1992-02-01
0,1992-03-01
0,1992-04-01
0,1992-05-01
0,1992-06-01
0,1992-07-01
0,1992-08-01
0,1992-09-01
0,1992-10-01
2,1992-11-01
0,1992-12-01
0,1993-01-01
0,1993-02-01
0,1993-03-01
0,1993-04-01
5,1993-05-01
0,1993-06-01
1,1993-07-01
0,1993-08-01
1,1993-09-01
0,1993-10-01
1,1993-11-01
1,1993-12-01
6,1994-01-01
0,1994-02-01
1,1994-03-01
1,1994-04-01
2,1994-05-01
0,1994-06-01
0,1994-07-01
1,1994-08-01
2,1994-09-01
3,1994-10-01
0,1994-11-01
6,1994-12-01
9,1995-01-01
3,1995-02-01
3,1995-03-01
1,1995-04-01
3,1995-05-01
1,1995-06-01
0,1995-07-01
1,1995-08-01
1,1995-09-01
2,1995-10-01
3,1995-11-01
4,1995-12-01
9,1996-01-01
1,1996-02-01
1,1996-03-01
2,1996-04-01
1,1996-05-01
1,1996-06-01
0,1996-07-01
0,1996-08-01
1,1996-09-01
0,1996-10-01
2,1996-11-01
2,1996-12-01
10,1997-01-01
3,1997-02-01
0,1997-03-01
0,1997-04-01
4,1997-05-01
0,1997-06-01
0,1997-07-01
1,1997-08-01
0,1997-09-01
1,1997-10-01
2,1997-11-01
3,1997-12-01
14,1998-01-01
2,1998-02-01
2,1998-03-01
1,1998-04-01
7,1998-05-01
0,1998-06-01
1,1998-07-01
0,1998-08-01
1,1998-09-01
2,1998-10-01
1,1998-11-01
2,1998-12-01
12,1999-01-01
0,1999-02-01
4,1999-03-01
0,1999-04-01
3,1999-05-01
4,1999-06-01
4,1999-07-01
0,1999-08-01
1,1999-09-01
2,1999-10-01
9,1999-11-01
3,1999-12-01
24,2000-01-01
1,2000-02-01
1,2000-03-01
3,2000-04-01
0,2000-05-01
3,2000-06-01
2,2000-07-01
5,2000-08-01
1,2000-09-01
1,2000-10-01
4,2000-11-01
3,2000-12-01
15,2001-01-01
2,2001-02-01
2,2001-03-01
2,2001-04-01
4,2001-05-01
1,2001-06-01
2,2001-07-01
1,2001-08-01
1,2001-09-01
2,2001-10-01
1,2001-11-01
7,2001-12-01
20,2002-01-01
0,2002-02-01
2,2002-03-01
0,2002-04-01
2,2002-05-01
4,2002-06-01
3,2002-07-01
0,2002-08-01
8,2002-09-01
1,2002-10-01
3,2002-11-01
5,2002-12-01
23,2003-01-01
1,2003-02-01
3,2003-03-01
1,2003-04-01
2,2003-05-01
0,2003-06-01
4,2003-07-01
1,2003-08-01
3,2003-09-01
2,2003-10-01
1,2003-11-01
2,2003-12-01
2,2004-01-01
1,2004-02-01
2,2004-03-01
2,2004-04-01
2,2004-05-01
2,2004-06-01
24,2004-07-01
3,2004-08-01
9,2004-09-01
2,2004-10-01
0,2004-11-01
3,2004-12-01
12,2005-01-01
3,2005-02-01
1,2005-03-01
2,2005-04-01
1,2005-05-01
3,2005-06-01
2,2005-07-01
2,2005-08-01
2,2005-09-01
2,2005-10-01
2,2005-11-01
18,2005-12-01
18,2006-01-01
1,2006-02-01
3,2006-03-01
3,2006-04-01
2,2006-05-01
14,2006-06-01
33,2006-07-01
3,2006-08-01
1,2006-09-01
4,2006-10-01
5,2006-11-01
6,2006-12-01
27,2007-01-01
2,2007-02-01
4,2007-03-01
3,2007-04-01
6,2007-05-01
5,2007-06-01
5,2007-07-01
13,2007-08-01
4,2007-09-01
34,2007-10-01
5,2007-11-01
9,2007-12-01
7,2008-01-01
6,2008-02-01
9,2008-03-01
8,2008-04-01
10,2008-05-01
1,2008-06-01
11,2008-07-01
36,2008-08-01
7,2008-09-01
6,2008-10-01
9,2008-11-01
5,2008-12-01
34,2009-01-01
8,2009-02-01
15,2009-03-01
13,2009-04-01
13,2009-05-01
9,2009-06-01
15,2009-07-01
2,2009-08-01
30,2009-09-01
1,2009-10-01
5,2009-11-01
11,2009-12-01
29,2010-01-01
9,2010-02-01
12,2010-03-01
8,2010-04-01
6,2010-05-01
12,2010-06-01
20,2010-07-01
11,2010-08-01
7,2010-09-01
12,2010-10-01
16,2010-11-01
35,2010-12-01
26,2011-01-01
12,2011-02-01
12,2011-03-01
10,2011-04-01
16,2011-05-01
16,2011-06-01
57,2011-07-01
18,2011-08-01
16,2011-09-01
22,2011-10-01
15,2011-11-01
24,2011-12-01
46,2012-01-01
22,2012-02-01
29,2012-03-01
33,2012-04-01
30,2012-05-01
27,2012-06-01
39,2012-07-01
38,2012-08-01
149,2012-09-01
30,2012-10-01
21,2012-11-01
36,2012-12-01
64,2013-01-01
29,2013-02-01
40,2013-03-01
34,2013-04-01
36,2013-05-01
30,2013-06-01
37,2013-07-01
48,2013-08-01
39,2013-09-01
61,2013-10-01
36,2013-11-01
47,2013-12-01
85,2014-01-01
59,2014-02-01
40,2014-03-01
47,2014-04-01
90,2014-05-01
73,2014-06-01
140,2014-07-01
68,2014-08-01
47,2014-09-01
47,2014-10-01
74,2014-11-01
59,2014-12-01
104,2015-01-01
69,2015-02-01
78,2015-03-01
92,2015-04-01
70,2015-05-01
88,2015-06-01
109,2015-07-01
97,2015-08-01
141,2015-09-01
86,2015-10-01
95,2015-11-01
111,2015-12-01
153,2016-01-01
96,2016-02-01
141,2016-03-01
92,2016-04-01
108,2016-05-01
116,2016-06-01
222,2016-07-01
209,2016-08-01
88,2016-09-01
130,2016-10-01
111,2016-11-01
154,2016-12-01
161,2017-01-01
146,2017-02-01
145,2017-03-01
159,2017-04-01
135,2017-05-01
188,2017-06-01
169,2017-07-01
153,2017-08-01
202,2017-09-01
216,2017-10-01
217,2017-11-01
211,2017-12-01
323,2018-01-01
315,2018-02-01
