count,date
1,1991-02-01
0,1991-03-01
0,1991-04-01
0,1991-05-01
0,1991-06-01
0,1991-07-01
0,1991-08-01
0,1991-09-01
0,1991-10-01
0,1991-11-01
0,1991-12-01
0,1992-01-01
0,1992-02-01
0,1992-03-01
0,1992-04-01
0,1992-05-01
0,1992-06-01
0,1992-07-01
0,1992-08-01
0,1992-09-01
0,1992-10-01
0,1992-11-01
1,1992-12-01
1,1993-01-01
0,1993-02-01
0,1993-03-01
1,1993-04-01
0,1993-05-01
2,1993-06-01
0,1993-07-01
0,1993-08-01
0,1993-09-01
0,1993-10-01
0,1993-11-01
1,1993-12-01
0,1994-01-01
0,1994-02-01
0,1994-03-01
2,1994-04-01
0,1994-05-01
1,1994-06-01
0,1994-07-01
0,1994-08-01
3,1994-09-01
0,1994-10-01
1,1994-11-01
4,1994-12-01
1,1995-01-01
0,1995-02-01
0,1995-03-01
0,1995-04-01
1,1995-05-01
0,1995-06-01
1,1995-07-01
0,1995-08-01
1,1995-09-01
1,1995-10-01
1,1995-11-01
1,1995-12-01
0,1996-01-01
1,1996-02-01
0,1996-03-01
1,1996-04-01
0,1996-05-01
1,1996-06-01
0,1996-07-01
0,1996-08-01
0,1996-09-01
2,1996-10-01
1,1996-11-01
3,1996-12-01
0,1997-01-01
0,1997-02-01
0,1997-03-01
1,1997-04-01
1,1997-05-01
1,1997-06-01
1,1997-07-01
0,1997-08-01
0,1997-09-01
1,1997-10-01
0,1997-11-01
0,1997-12-01
0,1998-01-01
0,1998-02-01
0,1998-03-01
2,1998-04-01
0,1998-05-01
1,1998-06-01
1,1998-07-01
0,1998-08-01
2,1998-09-01
1,1998-10-01
0,1998-11-01
5,1998-12-01
0,1999-01-01
1,1999-02-01
0,1999-03-01
3,1999-04-01
1,1999-05-01
1,1999-06-01
1,1999-07-01
1,1999-08-01
0,1999-09-01
6,1999-10-01
1,1999-11-01
4,1999-12-01
4,2000-01-01
0,2000-02-01
1,2000-03-01
1,2000-04-01
1,2000-05-01
2,2000-06-01
4,2000-07-01
4,2000-08-01
3,2000-09-01
3,2000-10-01
2,2000-11-01
11,2000-12-01
12,2001-01-01
4,2001-02-01
5,2001-03-01
13,2001-04-01
12,2001-05-01
3,2001-06-01
2,2001-07-01
3,2001-08-01
4,2001-09-01
3,2001-10-01
1,2001-11-01
5,2001-12-01
5,2002-01-01
2,2002-02-01
3,2002-03-01
5,2002-04-01
5,2002-05-01
3,2002-06-01
3,2002-07-01
3,2002-08-01
3,2002-09-01
6,2002-10-01
10,2002-11-01
22,2002-12-01
19,2003-01-01
3,2003-02-01
7,2003-03-01
12,2003-04-01
17,2003-05-01
11,2003-06-01
2,2003-07-01
4,2003-08-01
8,2003-09-01
6,2003-10-01
7,2003-11-01
9,2003-12-01
4,2004-01-01
6,2004-02-01
5,2004-03-01
4,2004-04-01
8,2004-05-01
9,2004-06-01
6,2004-07-01
8,2004-08-01
10,2004-09-01
13,2004-10-01
24,2004-11-01
37,2004-12-01
26,2005-01-01
7,2005-02-01
7,2005-03-01
12,2005-04-01
10,2005-05-01
7,2005-06-01
7,2005-07-01
4,2005-08-01
6,2005-09-01
6,2005-10-01
12,2005-11-01
14,2005-12-01
11,2006-01-01
13,2006-02-01
13,2006-03-01
22,2006-04-01
29,2006-05-01
17,2006-06-01
8,2006-07-01
16,2006-08-01
17,2006-09-01
14,2006-10-01
23,2006-11-01
40,2006-12-01
29,2007-01-01
10,2007-02-01
9,2007-03-01
14,2007-04-01
19,2007-05-01
21,2007-06-01
21,2007-07-01
11,2007-08-01
22,2007-09-01
30,2007-10-01
26,2007-11-01
40,2007-12-01
28,2008-01-01
10,2008-02-01
22,2008-03-01
20,2008-04-01
13,2008-05-01
86,2008-06-01
90,2008-07-01
21,2008-08-01
21,2008-09-01
22,2008-10-01
43,2008-11-01
54,2008-12-01
38,2009-01-01
38,2009-02-01
42,2009-03-01
30,2009-04-01
17,2009-05-01
33,2009-06-01
32,2009-07-01
22,2009-08-01
27,2009-09-01
27,2009-10-01
43,2009-11-01
69,2009-12-01
8,2010-01-01
17,2010-02-01
104,2010-03-01
30,2010-04-01
28,2010-05-01
27,2010-06-01
22,2010-07-01
18,2010-08-01
16,2010-09-01
26,2010-10-01
39,2010-11-01
41,2010-12-01
20,2011-01-01
23,2011-02-01
13,2011-03-01
20,2011-04-01
28,2011-05-01
25,2011-06-01
17,2011-07-01
31,2011-08-01
28,2011-09-01
23,2011-10-01
141,2011-11-01
82,2011-12-01
28,2012-01-01
36,2012-02-01
52,2012-03-01
45,2012-04-01
50,2012-05-01
46,2012-06-01
37,2012-07-01
118,2012-08-01
60,2012-09-01
40,2012-10-01
202,2012-11-01
60,2012-12-01
36,2013-01-01
69,2013-02-01
74,2013-03-01
58,2013-04-01
40,2013-05-01
54,2013-06-01
51,2013-07-01
67,2013-08-01
80,2013-09-01
36,2013-10-01
117,2013-11-01
76,2013-12-01
44,2014-01-01
84,2014-02-01
54,2014-03-01
144,2014-04-01
169,2014-05-01
154,2014-06-01
82,2014-07-01
81,2014-08-01
92,2014-09-01
81,2014-10-01
145,2014-11-01
97,2014-12-01
72,2015-01-01
115,2015-02-01
115,2015-03-01
94,2015-04-01
63,2015-05-01
85,2015-06-01
79,2015-07-01
119,2015-08-01
80,2015-09-01
100,2015-10-01
221,2015-11-01
156,2015-12-01
103,2016-01-01
140,2016-02-01
170,2016-03-01
130,2016-04-01
107,2016-05-01
218,2016-06-01
177,2016-07-01
146,2016-08-01
156,2016-09-01
131,2016-10-01
214,2016-11-01
204,2016-12-01
140,2017-01-01
164,2017-02-01
201,2017-03-01
178,2017-04-01
159,2017-05-01
167,2017-06-01
218,2017-07-01
250,2017-08-01
371,2017-09-01
213,2017-10-01
236,2017-11-01
203,2017-12-01
186,2018-01-01
